datasetNum,priority,datasetName,dataRefuge,dataGov,edg.epa.gov,webArchiveLink,datasetSource,accurateSource,sourceUpdate,fileSize_downloadableData
28,1,TRI-Chemical Hazard Information Profiles | Toxics Release Inventory Program,https://www.datarefuge.org/dataset/tri-chemical-hazard-information-profiles-toxics-release-inventory-program,https://catalog.data.gov/dataset/toxics-release-inventory-chemical-hazard-information-profiles-tri-chip-dataset,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B2DA57844-7EC1-4BAC-B521-3017862A1E70%7D,https://web.archive.org/web/*/https://www.epa.gov/toxics-release-inventory-tri-program/tri-chemical-hazard-information-profiles,https://www.epa.gov/toxics-release-inventory-tri-program/tri-chemical-hazard-information-profiles,Y,,zip 5.8 KB unzipped; second zip (tri-chip208.zip) is 4 MB
29,1,Environmental Toxicity Data For TRI-Listed Chemicals,https://www.datarefuge.org/dataset/environmental-toxicity-data-for-tri-listed-chemicals,https://catalog.data.gov/dataset/current-tri-chemical-list/resource/76f43e9b-1f94-4be8-b291-65c15e88bcdd,"https://edg.epa.gov/metadata/rest/document?id=%7B0BCD9866-9038-44AF-8E9C-67C784F48AFC%7D; https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B0BCD9866-9038-44AF-8E9C-67C784F48AFC%7D -- or others have better descriptions, search ""TRI Chemicals""",https://web.archive.org/web/*/https://epa.gov/toxics-release-inventory-tri-program/environmental-toxicity-data-tri-listed-chemicals,https://epa.gov/toxics-release-inventory-tri-program/environmental-toxicity-data-tri-listed-chemicals,Y,,bagSize: 384 KB; three xlsx 45 KB each; 
30,1,EPA System of Registries Reusable Component Services (RCS),https://www.datarefuge.org/dataset/epa-system-of-registries-reusable-component-services-rcs,https://catalog.data.gov/dataset/reusable-component-services,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B71D29B8C-4623-4374-B010-51A3FB2DFE2F%7D&xsl=metadata_to_html_full,https://web.archive.org/web/*/https://ofmpub.epa.gov/sor_internet/registry2/reusereg/searchandretrieve/,https://ofmpub.epa.gov/sor_internet/registry2/reusereg/searchandretrieve/,Y,,
31,1,Sole Source Aquifers for Drinking Water,https://www.datarefuge.org/dataset/sole-source-aquifers-for-drinking-water,https://catalog.data.gov/dataset/epa-sole-source-aquifers38967,,https://web.archive.org/web/*/http://epa.gov/dwssa,http://epa.gov/dwssa,Y,,
32,1,Release Chemical Report | TRI Explorer | US EPA,https://www.datarefuge.org/dataset/release-chemical-report-tri-explorer-us-epa,n/a,"not one record that is the equivalent, but there are some records from single regions that may have overlapping content (year or state or sth else)",https://web.archive.org/web/*/https://iaspub.epa.gov/triexplorer/tri_release.chemical,https://iaspub.epa.gov/triexplorer/tri_release.chemical,Y,,Zip file is 214 KB. Unzipped is 1.66 GB
33,9,Toxics Release Inventory (TRI) Pollution Prevention Facilities,https://www.datarefuge.org/dataset/toxics-release-inventory-tri-pollution-prevention-facilities,n/a,"not one record that is the equivalent, but there are some records from single regions that may have overlapping content (year or state or sth else)",https://web.archive.org/web/*/https://www3.epa.gov/enviro/facts/tri/p2.html,https://www3.epa.gov/enviro/facts/tri/p2.html,Y,,"bagSize: 19.1 MB; contains same things as listed outside zip, incl. 25 CSVs approximately 3.2 MB each"
34,10,Merganser Model: Fish Mercury Predictions,https://www.datarefuge.org/dataset/merganser-model-fish-mercury-predictions,,,https://web.archive.org/web/*/https://gispub4.epa.gov/Merganser/,https://gispub4.epa.gov/Merganser/,Y,,
35,10,Lake Ecosystem Services,https://www.datarefuge.org/dataset/lake-ecosystem-services,https://catalog.data.gov/dataset/national-lakes-assessment-data-122f9,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B668F7BE3-50D1-465C-A73D-B21625689159%7D,https://web.archive.org/web/*/http://gispub4.epa.gov/LES,http://gispub4.epa.gov/LES,Y,,"bagSize: 649 KB zipped; contains same things as listed outside zip, incl. 4 CSVs (9, 41, 327 KB, 2.3 MB)"
36,5,Integrated Risk Information System Share,https://www.datarefuge.org/dataset/integrated-risk-information-system-share,,,https://web.archive.org/web/*/https://www.epa.gov/iris,https://www.epa.gov/iris,Y,,
37,5,Greenhouse Gas Reporting Program (GHGRP) - US Environmental Protection Agency (EPA),https://www.datarefuge.org/dataset/greenhouse-gas-reporting-program-ghgrp-us-environmental-protection-agency-epa,n/a,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BFE489855-C43D-493B-BF08-6CE2B5E69330%7D,https://web.archive.org/web/*/https://www.epa.gov/ghgreporting/,https://www.epa.gov/ghgreporting/,Y,,
38,10,"EPA Trends/Pacific Southwest, Region 9: Air Quality Analysis",https://www.datarefuge.org/dataset/epa-trends-pacifc-southwest-region-9-air-quality-analysis,,,https://web.archive.org/web/*/http://epa.gov/region9/air/maps,http://epa.gov/region9/air/maps,Y,,
39,8,EPA's Study of Hydraulic Fracturing and Its Potential Impact on Drinking Water Resources,https://www.datarefuge.org/dataset/epa-s-study-of-hydraulic-fracturing-and-its-potential-impact-on-drinking-water-resources,,,https://web.archive.org/web/*/https://cfpub.epa.gov/ncea/hfstudy/recordisplay.cfm?deid=308341,https://cfpub.epa.gov/ncea/hfstudy/recordisplay.cfm?deid=308341,Y,,
40,7,EPA - STORET Legacy Data Center,https://www.datarefuge.org/dataset/epa-storet-legacy-data-center,https://catalog.data.gov/dataset/storage-and-retrieval-for-water-quality-data-storet-dd08b,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BF1ED8B78-08E9-4A6C-A661-E1E42146513D%7D&xsl=metadata_to_html_full,https://web.archive.org/web/*/https://www3.epa.gov/storet/legacy/gateway.htm,https://www3.epa.gov/storet/legacy/gateway.htm,Y,,"EPA storet legacy data center.zip 1.6 GB;
STORET_Docs.zip 382 KB;
not_moved_orgs.zip 103 MB;
all_states.zip 1.5 GB"
41,10,EPA Recovery Mapper,https://www.datarefuge.org/dataset/epa-recovery-mapper,https://catalog.data.gov/dataset/epa-recovery-mapper,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BB756C475-07D8-4509-8427-E4FB3E28CBCC%7D,https://web.archive.org/web/*/http://epamap17.epa.gov/arra,http://epamap17.epa.gov/arra,Y,,"724966B7-C264-4A05-89B7-0C8944AE1582.zip 512 KB;
epa_recovery_data.csv 1.82 MB"
42,10,Enforcement and Compliance History Online,https://www.datarefuge.org/dataset/enforcement-and-compliance-history-online,https://catalog.data.gov/dataset?organization=epa-gov&q=%22Enforcement+and+Compliance+History+Online%22,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B5DF97189-37B4-421E-B74C-C225EECC423F%7D,https://web.archive.org/web/*/https://echo.epa.gov,https://echo.epa.gov,Y,,"4060E671-8A8E-4FBB-A4DB-A68F31207A9B.zip  -NOT ACCESSIBLE;
data.zip 4.6GB;
 echo_exporter_columns_02172017.xlsx 24 KB
"
